code,system
J510000,readv2
J512000,readv2
J511000,readv2
J512800,readv2
J510800,readv2
J513.00,readv2
J511500,readv2
J512500,readv2
J510500,readv2
J512600,readv2
J510700,readv2
J511600,readv2
J510600,readv2
J512700,readv2
J511700,readv2
J51..00,readv2
J23z300,readv2
J51..11,readv2
J51z.00,readv2
9511.0,readv2
19935.0,readv2
44647.0,readv2
10483.0,readv2
5857.0,readv2
50313.0,readv2
37588.0,readv2
2536.0,readv2
5686.0,readv2
62979.0,readv2
71130.0,readv2
27444.0,readv2
10437.0,readv2
72590.0,readv2
14942.0,readv2
37813.0,readv2
12345.0,readv2
2044.0,readv2
53092.0,readv2
3538.0,readv2
31365.0,readv2
48589.0,readv2
48173.0,readv2
106340.0,readv2
1101.0,readv2
69918.0,readv2
49066.0,readv2
7662.0,readv2
73334.0,readv2
68959.0,readv2
34164.0,readv2
38941.0,readv2
347.0,readv2
61722.0,readv2
49084.0,readv2
17105.0,readv2
61664.0,readv2
51511.0,readv2
47924.0,readv2
8322.0,readv2
42866.0,readv2
3593.0,readv2
K38.2,readv2
K57,readv2
J512400,readv2
J511300,readv2
J511400,readv2
J510300,readv2
J510400,readv2
J512300,readv2
J512100,readv2
J510100,readv2
J511100,readv2
J512.00,readv2
J512z00,readv2
7718000.0,readv2
H12.1,readv2
J512200,readv2
J510200,readv2
J511200,readv2
J510900,readv2
J510.00,readv2
J510z00,readv2
J511.00,readv2
J511z00,readv2
J512y00,readv2
J511y00,readv2
J510y00,readv2
